Compound_SMILES	Compound_InchiKeys	Compound_Name	UniProt_Id	Entrez_Gene_Symbol	DiscoveRx_Gene_Symbol	pKd_[M]_pred
COc1ccc(cc1)-c1nn2ncccc2c1-c1ccnc(Nc2cccc(c2)C(F)(F)F)n1	BWBYKJFTJZIURF-UHFFFAOYSA-N	GW827105X	O14976	GAK	GAK	6.604644537
CN1CCC(NC(C2=CC(OC)=C(NC3=NC=C(N(C(C(F)(F)CN4C5CCCC5)=O)C)C4=N3)C=C2F)=O)CC1	GWRSATNRNFYMDI-UHFFFAOYSA-N	TAK960	O14976	GAK	GAK	5.777670888
Nc1nccc(n1)-c1c(nn2cc(ccc12)C(F)(F)F)-c1ccc(F)cc1	JQUJTXXKVLSAEV-UHFFFAOYSA-N	GW568326X	O14976	GAK	GAK	6.855886364
O=C(C1CC1)NC2=NNC3=C2C=CC(C4=CC=CC(NS(N(C)CC)(=O)=O)=C4)=C3	NKCMEGZSWOVKIL-UHFFFAOYSA-N	UNC-AA-1-0017	P32298	GRK4	GRK4	5.523606129
O=C(NC=C1)C2=C1C(C(C(C)C)=NO3)=C3C4=C2C=C(C)C=C4	RHCWRLPKOJKBJP-UHFFFAOYSA-N	MO 286/LN 989	P32298	GRK4	GRK4	5.745206146
CN1CCC(CNC(C=C2)=NN3C2=NC=C3C4=CC=CC(OC(F)(F)F)=C4)CC1	MHXGEROHKGDZGO-UHFFFAOYSA-N	SGI-1776	Q8WTQ7	GRK7	GRK7	5.269884361
Cc1ccc2c(c(nn2n1)-c1ccc(cc1)C(F)(F)F)-c1ccnc(Nc2ccc3OCCOc3c2)n1	JLEUOCWABWBHQW-UHFFFAOYSA-N	GW832467X	Q8WTQ7	GRK7	GRK7	5.475826787
Fc1ccc(cc1)-c1c(nc2SCCn12)-c1ccncc1	GLHFDXWSDZWRNN-UHFFFAOYSA-N	SKF-86055	Q8TF76	GSG2	HASPIN	4.852179007
COc1ccc(cc1C(N)=O)-c1ccncc1	QEYUQXQAUUYZDC-UHFFFAOYSA-N	GSK605714A	Q8TF76	GSG2	HASPIN	5.135070186
O=S(C2=CC=CC1=CN=CC=C12)(NCCNC/C=C/C3=CC=C(Br)C=C3)=O	ZKZXNDJNWUTGDK-NSCUHMNNSA-N	H89	Q8TF76	GSG2	HASPIN	4.542065696
CN1CCC(CNC(C=C2)=NN3C2=NC=C3C4=CC=CC(OC(F)(F)F)=C4)CC1	MHXGEROHKGDZGO-UHFFFAOYSA-N	SGI-1776	Q8TF76	GSG2	HASPIN	4.636807301
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q8TF76	GSG2	HASPIN	4.304494735
O=C(OC)C1=CC=C(C2=C(C(N)=C(C(N)=O)S3)C3=NC(N4CCC(N)CC4)=C2)C=C1	LBVMBECAHIBYAO-UHFFFAOYSA-N	BI00604549	Q8TF76	GSG2	HASPIN	6.055585056
CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N	AQGNHMOJWBZFQQ-UHFFFAOYSA-N	CHIR99021	P49840	GSK3A	GSK3A	5.438432903
CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N	AQGNHMOJWBZFQQ-UHFFFAOYSA-N	CHIR99021	P49841	GSK3B	GSK3B	5.467293957
Fc1c(c(ccc1NS(=O)(=O)CCC)F)-n2nnc(c2)-c3cncc(c3)OC	PBZQXUCHRRZRTF-UHFFFAOYSA-N	BI00865461	P08631	HCK	HCK	4.891228868
Clc1ccc(CNc2nccc(n2)-c2cnn3ncccc23)cc1	NEWXQDRWGLAOAY-UHFFFAOYSA-N	GW781673X	Q86Z02	HIPK1	HIPK1	5.680622327
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q86Z02	HIPK1	HIPK1	4.817998487
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q9H2X6	HIPK2	HIPK2	4.922613247
Clc1ccc(CNc2nccc(n2)-c2cnn3ncccc23)cc1	NEWXQDRWGLAOAY-UHFFFAOYSA-N	GW781673X	Q9H422	HIPK3	HIPK3	5.871238128
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q9H422	HIPK3	HIPK3	5.017372379
Clc1c(cccc1)-n2nc(c4c2-c3sc(nc3CC4)NC(=O)NCc5[nH]ccn5)-c6cnccc6	JXKHIJZYDXHNSW-UHFFFAOYSA-N	BI00048423	Q9UPZ9	ICK	ICK	6.020938831
O=C(OC)C1=CC=C(C2=C(C(N)=C(C(N)=O)S3)C3=NC(N4CCC(N)CC4)=C2)C=C1	LBVMBECAHIBYAO-UHFFFAOYSA-N	BI00604549	O14920	IKBKB	IKK-beta	6.124319327
CN1CCC(NC(C2=CC(OC)=C(NC3=NC=C(N(C(C(F)(F)CN4C5CCCC5)=O)C)C4=N3)C=C2F)=O)CC1	GWRSATNRNFYMDI-UHFFFAOYSA-N	TAK960	P06213	INSR	INSR	5.465828784
CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC(=CC=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N	AHYMHWXQRWRBKT-UHFFFAOYSA-N	EMD-1214063	P51617	IRAK1	IRAK1	6.878456357
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q9NWZ3	IRAK4	IRAK4	5.365725762
CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC(=CC=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N	AHYMHWXQRWRBKT-UHFFFAOYSA-N	EMD-1214063	Q9NWZ3	IRAK4	IRAK4	7.545572334
COc1ccc(cc1)-c1coc2ncnc(N)c12	QGHMHWPBFHABJY-UHFFFAOYSA-N	GW642125X	P23458	JAK1	JAK1(JH2domain-pseudokinase)	5.34334004
NS(=O)(=O)c1ccc(cc1)-c1ccc2c(NC(=O)C3CC3)n[nH]c2c1	ZZTJLVZEYMOZSD-UHFFFAOYSA-N	SB-738482	P23458	JAK1	JAK1(JH1domain-catalytic)	5.561642393
FC(F)(F)c1c(ccc(c1)NC(=O)c2cc(c(cc2)C)-c3noc(n3)-c4cnccc4)Cl	LQZIUMJCFXSPTG-UHFFFAOYSA-N	BI00831861	P10721	KIT	KIT	6.580838341
N(c1ncc(o1)-c1ccccc1)c1ccccc1	HFICAVMUTYFODG-UHFFFAOYSA-N	GW549390X	P10721	KIT	KIT	5.512401494
COc1ccc(cc1)-c1coc2ncnc(N)c12	QGHMHWPBFHABJY-UHFFFAOYSA-N	GW642125X	P10721	KIT	KIT	5.250999348
COc1ccc(cc1)-c1nn2ncccc2c1-c1ccnc(Nc2cccc(c2)C(F)(F)F)n1	BWBYKJFTJZIURF-UHFFFAOYSA-N	GW827105X	P10721	KIT	KIT	6.279883206
NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)-c2cccc(O)c2)cc1	PVLOKYREDKFWTF-UHFFFAOYSA-N	GW831090X	P10721	KIT	KIT	6.900244342
N#Cc1cccc(Nc2ncc(o2)-c2ccccc2)c1	VZMXZHOJAGFSNF-UHFFFAOYSA-N	GW627834A	P10721	KIT	KIT	5.360709317
CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1	HVTWLTGGYKBXHX-VOTSOKGWSA-N	GW445017X	P10721	KIT	KIT	6.135756033
N(c1ncc(o1)-c1ccccc1)c1ccc(Oc2ccccc2)cc1	MKASXHWBPFPYNF-UHFFFAOYSA-N	GW641155A	P10721	KIT	KIT	5.720089319
Cc1ccc2c(c(nn2n1)-c1ccc(cc1)C(F)(F)F)-c1ccnc(Nc2ccc3OCCOc3c2)n1	JLEUOCWABWBHQW-UHFFFAOYSA-N	GW832467X	P10721	KIT	KIT	6.263493033
CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(o2)-c2ccccc2Cl)c1	QAAZSECJUMWUTP-UHFFFAOYSA-N	GW622055X	O95835	LATS1	LATS1	4.734990578
NC(=O)c1cc(cc(c1N)-c1ccncc1)-c1ccc(F)cc1	INRJBVLMKPWSHK-UHFFFAOYSA-N	GSK620503A	O95835	LATS1	LATS1	5.30332814
Cc1cc(Cl)cc2C(=NNc3ccc(cc3)S(N)(=O)=O)C(=O)Nc12	YWGGNXADJYGMJY-UHFFFAOYSA-N	GW279320X	O95835	LATS1	LATS1	4.879326859
N(c1ncc(o1)-c1ccccc1)c1ccccc1	HFICAVMUTYFODG-UHFFFAOYSA-N	GW549390X	O95835	LATS1	LATS1	4.513462193
Cc1ccc(cc1-c1ccc(cc1)C(=O)NCC1CC1)C(=O)NC1CCC1	RPNGVORGBYYVHT-UHFFFAOYSA-N	GW782912X	O95835	LATS1	LATS1	4.627132042
O=C(NCC1=CC=CC=C1)C2=CC=C(S(=O)(NCC3=CC=CC=C3)=O)C=C2	QDGVJMITKNOVTP-UHFFFAOYSA-N	TH263	O95835	LATS1	LATS1	4.538560111
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q9NRM7	LATS2	LATS2	5.319564665
COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)(=O)c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1	RJOBEDHRAOYOQX-UHFFFAOYSA-N	GW680908A	P06239	LCK	LCK	5.99911914
O=C(N(CC1=CC=CC=C1)CCCC)C2=CC=C(S(=O)(NC3=CC=CC=C3)=O)C=C2	VNCIWNGCMAKKEO-UHFFFAOYSA-N	TH257	P06239	LCK	LCK	5.809855449
O=C(C1=CC=C(C=C1)S(=O)(NC2=CC=CC=C2)=O)N(CC)CC3=CC=CC=C3	HSFGCMJKYHQRQQ-UHFFFAOYSA-N	TH251	P53667	LIMK1	LIMK1	5.351962904
O=C(N(CC1=CC=CC=C1)CCCC)C2=CC=C(S(=O)(NC3=CC=CC=C3)=O)C=C2	VNCIWNGCMAKKEO-UHFFFAOYSA-N	TH257	P53667	LIMK1	LIMK1	5.363374507
O=C(C1=CC=C(C=C1)S(=O)(NC2=CC=CC=C2)=O)N(CC)CC3=CC=CC=C3	HSFGCMJKYHQRQQ-UHFFFAOYSA-N	TH251	P53671	LIMK2	LIMK2	5.052229838
O=C(N(CC1=CC=CC=C1)CCCC)C2=CC=C(S(=O)(NC3=CC=CC=C3)=O)C=C2	VNCIWNGCMAKKEO-UHFFFAOYSA-N	TH257	P53671	LIMK2	LIMK2	5.107814372
O=C(C1=CC=C(C=C1)S(=O)(NC2=CC=CC(Cl)=C2)=O)N(CCC)CC3=CC=CC=C3	VMGWOAVOASXXIH-UHFFFAOYSA-N	TH300	P53671	LIMK2	LIMK2	5.261507616
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q5S007	LRRK2	LRRK2	5.534427604
Fc1ccc(cc1)-c1cc(ccn1)-c1c[nH]nc1-c1ccccn1	HZJPBOLTWHOKEL-UHFFFAOYSA-N	GW680975X	P29376	LTK	LTK	5.221242575
O=C(NCC1=CC=CC=C1)C2=CC=C(S(=O)(NCC3=CC=CC=C3)=O)C=C2	QDGVJMITKNOVTP-UHFFFAOYSA-N	TH263	P29376	LTK	LTK	4.295763636
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC	CKYDKNBLVBVPCS-UHFFFAOYSA-N	GSK1030062A	P07948	LYN	LYN	5.082871573
O=C(C1=CC=C(C=C1)S(=O)(NC2=CC=CC=C2)=O)N(CC)CC3=CC=CC=C3	HSFGCMJKYHQRQQ-UHFFFAOYSA-N	TH251	P20794	MAK	MAK	5.346630128
Cc1cc(cc(C)c1\C=C\c1cncc(c1)-c1nn[nH]n1)-c1ccccn1	LBJHHPBGZCPQIO-VOTSOKGWSA-N	GW459057A	Q02750	MAP2K1	MEK1	4.615744747
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q02750	MAP2K1	MEK1	5.592255295
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	P36507	MAP2K2	MEK2	5.526355049
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	P46734	MAP2K3	MEK3	5.744066172
Fc1c(c(ccc1NS(=O)(=O)CCC)F)-n2nnc(c2)-c3cncc(c3)OC	PBZQXUCHRRZRTF-UHFFFAOYSA-N	BI00865461	Q13163	MAP2K5	MEK5	5.522446745
CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1	HVTWLTGGYKBXHX-VOTSOKGWSA-N	GW445017X	Q13163	MAP2K5	MEK5	5.843830508
Cc1cc(cc(C)c1\C=C\c1cncc(c1)-c1nn[nH]n1)-c1ccccn1	LBJHHPBGZCPQIO-VOTSOKGWSA-N	GW459057A	Q13163	MAP2K5	MEK5	5.142363359
COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1	RARTTYYZTRKYDS-UHFFFAOYSA-N	GI261520A	Q13163	MAP2K5	MEK5	6.902129097
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q13163	MAP2K5	MEK5	5.706149979
FC(F)(F)c1c(ccc(c1)NC(=O)c2cc(c(cc2)C)-c3noc(n3)-c4cnccc4)Cl	LQZIUMJCFXSPTG-UHFFFAOYSA-N	BI00831861	P52564	MAP2K6	MEK6	5.156064822
s1c(nc3c1-c2n(nc(c2C(C3)C)-c4cnc(cc4)NCC)-c5c(cccc5)C)NC(=O)OC	FQXPXUGHKSKDIL-UHFFFAOYSA-N	BI00857480	Q6ZN16	MAP3K15	MAP3K15	5.325536091
Fc1ccc(cc1)-c1c(nc2SCCn12)-c1ccncc1	GLHFDXWSDZWRNN-UHFFFAOYSA-N	SKF-86055	Q56UN5	MAP3K19	YSK4	5.517898215
COc1ccc(cc1C(N)=O)-c1ccncc1	QEYUQXQAUUYZDC-UHFFFAOYSA-N	GSK605714A	Q56UN5	MAP3K19	YSK4	6.372116486
CCn1c(nc2ccc(F)cc12)-c1nonc1N	CFCWMGRWMVZFQN-UHFFFAOYSA-N	GW785404X	Q56UN5	MAP3K19	YSK4	7.293916781
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q56UN5	MAP3K19	YSK4	5.901601767
ClC1=CC=C(F)C(C2=NC(N=CC=N3)=C3C(NC4=CC=NC=C4)=N2)=C1	BERLXWPRSBJFHO-UHFFFAOYSA-N	SD-208	P53779	MAPK10	JNK3	5.079086849
O=C(C(N1C)=CC2=C1C(OC3=CC(C(N4CCN(C)CC4)=O)=NC=C3)=CC=C2)NC5=CC(C(C)(C)C)=CC(NS(=O)(C)=O)=C5OC	MAABOYWIPSQEMY-UHFFFAOYSA-N	BI00601359	Q15759	MAPK11	p38-beta	6.226227375
Fc1ccc(cc1)-c1ncn(CCCN2CCOCC2)c1-c1ccncc1	ANWALZPQHPAZFO-UHFFFAOYSA-N	SB-210313	Q16539	MAPK14	p38-alpha	7.473292485
Cc1ccc(cc1-c1ccc2[nH]ncc2c1)C(=O)NC1CC1	HZKJOEBOIMSMJP-UHFFFAOYSA-N	GW820759X	Q16539	MAPK14	p38-alpha	7.995087125
CN1CCC(CC1)n1cnc(c1-c1ccnc(NCCO)n1)-c1ccc(F)cc1	XKOQKLFWCLUSAU-UHFFFAOYSA-N	SB-226879	Q16539	MAPK14	p38-alpha	6.98864439
COc1ccc(cc1)-c1nn2ncccc2c1-c1ccnc(Nc2cccc(c2)C(F)(F)F)n1	BWBYKJFTJZIURF-UHFFFAOYSA-N	GW827105X	Q16539	MAPK14	p38-alpha	6.24991415
Cc1nnc(o1)-c1ccc(C)c(c1)-c1ccc(cc1)C(=O)NCc1ccc(Cl)cc1	PGONBMCLDBGMIY-UHFFFAOYSA-N	GW708893X	Q16539	MAPK14	p38-alpha	6.566334485
Cc1ccc(cc1-c1ccc(cc1)C(=O)NCC1CC1)C(=O)NC1CCC1	RPNGVORGBYYVHT-UHFFFAOYSA-N	GW782912X	Q16539	MAPK14	p38-alpha	7.440875655
CN1CCC(CC1)n1cnc(c1-c1ccnc(N)n1)-c1ccc(F)cc1	SVRAGOOKTLUHES-UHFFFAOYSA-N	SB-220455	Q16539	MAPK14	p38-alpha	6.981052607
O=S(C2=CC=CC1=CN=CC=C12)(NCCNC/C=C/C3=CC=C(Br)C=C3)=O	ZKZXNDJNWUTGDK-NSCUHMNNSA-N	H89	Q16539	MAPK14	p38-alpha	5.489237539
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOC[C@@H]5C	JUSFANSTBFGBAF-IRXDYDNUSA-N	AZD2014	Q16539	MAPK14	p38-alpha	6.046174134
O=C(C(N1C)=CC2=C1C(OC3=CC(C(N4CCN(C)CC4)=O)=NC=C3)=CC=C2)NC5=CC(C(C)(C)C)=CC(NS(=O)(C)=O)=C5OC	MAABOYWIPSQEMY-UHFFFAOYSA-N	BI00601359	Q16539	MAPK14	p38-alpha	6.371069675
Cc1ccc2c(c(nn2n1)-c1ccc(cc1)C(F)(F)F)-c1ccnc(Nc2ccc3OCCOc3c2)n1	JLEUOCWABWBHQW-UHFFFAOYSA-N	GW832467X	Q16539	MAPK14	p38-alpha	6.364164995
Nc1nccc(n1)-c1c(nn2cc(ccc12)C(F)(F)F)-c1ccc(F)cc1	JQUJTXXKVLSAEV-UHFFFAOYSA-N	GW568326X	Q16539	MAPK14	p38-alpha	6.898788948
CN1CCC(CC1)n1cnc(c1-c1ccnc(N)n1)-c1ccc(F)cc1	SVRAGOOKTLUHES-UHFFFAOYSA-N	SB-220455	P45984	MAPK9	JNK2	7.054456673
O=C(C(N1C)=CC2=C1C(OC3=CC(C(N4CCN(C)CC4)=O)=NC=C3)=CC=C2)NC5=CC(C(C)(C)C)=CC(NS(=O)(C)=O)=C5OC	MAABOYWIPSQEMY-UHFFFAOYSA-N	BI00601359	P45984	MAPK9	JNK2	6.07876893
S(=O)(=O)(N1CCC(CC1)Oc3c(cc2ncnc(c2c3)N[C@H](C)c4ccccc4)OC)C	HNCQUOKLTSGCPT-MRXNPFEDSA-N	BI00010951	Q9P0L2	MARK1	MARK1	5.223874844
NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)-c2cccc(O)c2)cc1	PVLOKYREDKFWTF-UHFFFAOYSA-N	GW831090X	Q9P0L2	MARK1	MARK1	5.329015622
S(=O)(=O)(N1CCC(CC1)Oc3c(cc2ncnc(c2c3)N[C@H](C)c4ccccc4)OC)C	HNCQUOKLTSGCPT-MRXNPFEDSA-N	BI00010951	Q96L34	MARK4	MARK4	5.196224822
ClC1=CC(NC2=NC=CC(NCCCN3CCOCC3)=N2)=CC=C1	XEEXZIORUKKBII-UHFFFAOYSA-N	DI00625271	P42679	MATK	CTK	4.779751916
COc1ccc(cc1C(N)=O)-c1ccncc1	QEYUQXQAUUYZDC-UHFFFAOYSA-N	GSK605714A	Q14680	MELK	MELK	5.473698535
COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)(=O)c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1	RJOBEDHRAOYOQX-UHFFFAOYSA-N	GW680908A	Q14680	MELK	MELK	5.265807699
CS(=O)(=O)Nc1cccc(c1)-c1ccc2c(NC(=O)C3CC3)n[nH]c2c1	FUQAHBLEGDXXKS-UHFFFAOYSA-N	SB-742864	Q14680	MELK	MELK	5.558914399
CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1	HVTWLTGGYKBXHX-VOTSOKGWSA-N	GW445017X	Q14680	MELK	MELK	5.080243325
S(=O)(=O)(N1CCC(CC1)Oc3c(cc2ncnc(c2c3)N[C@H](C)c4ccccc4)OC)C	HNCQUOKLTSGCPT-MRXNPFEDSA-N	BI00010951	Q12866	MERTK	MERTK	5.382642863
Fc1ccc(cc1)-c1ncn(CCCN2CCOCC2)c1-c1ccncc1	ANWALZPQHPAZFO-UHFFFAOYSA-N	SB-210313	Q8N4C8	MINK1	MINK	5.740632474
NS(=O)(=O)c1cccc(c1)-c1cc2ccncc2cc1OCc1ccccc1	WFQYBHCSVMMJEF-UHFFFAOYSA-N	GSK980961A	Q9HBH9	MKNK2	MKNK2	5.172390877
O=C(C1=CC=C(C=C1)S(=O)(NC2=CC=CC=C2)=O)N(CC)CC3=CC=CC=C3	HSFGCMJKYHQRQQ-UHFFFAOYSA-N	TH251	Q04912	MST1R	MST1R	4.815637558
Clc1c(cccc1)-n2nc(c4c2-c3sc(nc3CC4)NC(=O)NCc5[nH]ccn5)-c6cnccc6	JXKHIJZYDXHNSW-UHFFFAOYSA-N	BI00048423	P42345	MTOR	MTOR	5.323895229
s1c(nc3c1-c2n(nc(c2C(C3)C)-c4cnc(cc4)NCC)-c5c(cccc5)C)NC(=O)OC	FQXPXUGHKSKDIL-UHFFFAOYSA-N	BI00857480	P42345	MTOR	MTOR	5.322543158
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOC[C@@H]5C	JUSFANSTBFGBAF-IRXDYDNUSA-N	AZD2014	P42345	MTOR	MTOR	6.088697337
CC(N1CCN(C2=NC=NC(CC)=C2C#CC3=CC=C(N)N=C3)CC1)=O	GKROGJIGFRYBLZ-UHFFFAOYSA-N	BI00862142	P42345	MTOR	MTOR	5.78191561
CN1CCC(NC(C2=CC(OC)=C(NC3=NC=C(N(C(C(F)(F)CN4C5CCCC5)=O)C)C4=N3)C=C2F)=O)CC1	GWRSATNRNFYMDI-UHFFFAOYSA-N	TAK960	Q15746	MYLK	MYLK	6.746237298
O=S(NC1=CC(C2=CC=C(C(NC(C3CC3)=O)=NN4)C4=C2)=CC=C1)(N(CC)CC)=O	UCBIQZUJJSVQHL-UHFFFAOYSA-N	UNC-AA-1-0013	Q9H1R3	MYLK2	MYLK2	6.463370772
O=C(C1CC1)NC2=NNC3=C2C=CC(C4=CC=CC(NS(N(C)CC)(=O)=O)=C4)=C3	NKCMEGZSWOVKIL-UHFFFAOYSA-N	UNC-AA-1-0017	Q9H1R3	MYLK2	MYLK2	6.419527575
O=C(C1CC1)NC2=NNC3=C2C=CC(C4=CC=CC(NS(CC(C)C)(=O)=O)=C4)=C3	SENOTLIGBLGKGP-UHFFFAOYSA-N	UNC-AA-1-0022	Q9H1R3	MYLK2	MYLK2	6.300407067
CC(C)OC(N(CC1)CCN1C2=NC3=C(C4=CN=C(C(F)(F)F)C=C4)C=NN3C=C2)=O	NDDGTHBFQLPYJL-UHFFFAOYSA-N	NK-92	Q86YV6	MYLK4	MYLK4	6.044025194
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOC[C@@H]5C	JUSFANSTBFGBAF-IRXDYDNUSA-N	AZD2014	Q86YV6	MYLK4	MYLK4	6.014155592
Clc1c(cccc1)-n2nc(c4c2-c3sc(nc3CC4)NC(=O)NCc5[nH]ccn5)-c6cnccc6	JXKHIJZYDXHNSW-UHFFFAOYSA-N	BI00048423	Q8NEV4	MYO3A	MYO3A	5.179116908
FC(F)(F)c1c(ccc(c1)NC(=O)c2cc(c(cc2)C)-c3noc(n3)-c4cnccc4)Cl	LQZIUMJCFXSPTG-UHFFFAOYSA-N	BI00831861	Q96PY6	NEK1	NEK1	5.108745079
Clc1c(cc(cc1)C#CC2(CCN(CC2)C)OC)-c3nc-4c(cn3)CCc5nc(sc5-4)NC(=O)C	SKJMTJUJMPIXBJ-UHFFFAOYSA-N	BI00047875	P51955	NEK2	NEK2	6.084707568
Clc1c(cc(cc1)C#CC2(CCN(CC2)C)OC)-c3nc-4c(cn3)CCc5nc(sc5-4)NC(=O)C	SKJMTJUJMPIXBJ-UHFFFAOYSA-N	BI00047875	P51956	NEK3	NEK3	6.632204963
FC(F)(F)c1c(ccc(c1)NC(=O)c2cc(c(cc2)C)-c3noc(n3)-c4cnccc4)Cl	LQZIUMJCFXSPTG-UHFFFAOYSA-N	BI00831861	P51956	NEK3	NEK3	5.078502651
Clc1c(cc(cc1)C#CC2(CCN(CC2)C)OC)-c3nc-4c(cn3)CCc5nc(sc5-4)NC(=O)C	SKJMTJUJMPIXBJ-UHFFFAOYSA-N	BI00047875	Q6P3R8	NEK5	NEK5	6.899310424
CCn1c(nc2ccncc12)-c1nonc1N	XDQUYQKTDSDQRL-UHFFFAOYSA-N	SB-738561	Q6P3R8	NEK5	NEK5	4.669242412
O=C(Nc1n[nH]c2nc(ccc12)-c1ccco1)C1CC1	FJINJXZTEKDFRA-UHFFFAOYSA-N	SB-743899	Q8TDX7	NEK7	NEK7	5.161065979
O=C(Nc1n[nH]c2nc(ccc12)-c1ccco1)C1CC1	FJINJXZTEKDFRA-UHFFFAOYSA-N	SB-743899	Q8TD19	NEK9	NEK9	4.914615096
CN1CCC(CC1)n1cnc(c1-c1ccnc(NCCO)n1)-c1ccc(F)cc1	XKOQKLFWCLUSAU-UHFFFAOYSA-N	SB-226879	Q9UBE8	NLK	NLK	6.863306643
COc1ccc(cc1)-c1nn2ncccc2c1-c1ccnc(Nc2cccc(c2)C(F)(F)F)n1	BWBYKJFTJZIURF-UHFFFAOYSA-N	GW827105X	Q9UBE8	NLK	NLK	6.498015253
CN1CCC(CC1)n1cnc(c1-c1ccnc(N)n1)-c1ccc(F)cc1	SVRAGOOKTLUHES-UHFFFAOYSA-N	SB-220455	Q9UBE8	NLK	NLK	6.786261548
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	Q16620	NTRK2	TRKB	5.326019223
O=S(C2=CC=CC1=CN=CC=C12)(NCCNC/C=C/C3=CC=C(Br)C=C3)=O	ZKZXNDJNWUTGDK-NSCUHMNNSA-N	H89	Q9H093	NUAK2	SNARK	5.883176068
O[C@H]([C@H](O)[C@@H](CO)O3)[C@@H]3N1C2=C(C(N)=NC=N2)C(I)=C1	WHSIXKUPQCKWBY-IOSLPCCCSA-N	5-iodotubercidin	O95747	OXSR1	OSR1	4.798724882
Fc1ccc(cc1)-c1cc(ccn1)-c1c[nH]nc1-c1ccccn1	HZJPBOLTWHOKEL-UHFFFAOYSA-N	GW680975X	O75914	PAK3	PAK3	5.200946392
